status,placement,415_mean,415_ptp,415_std,415_median,415_var,445_mean,445_ptp,445_std,445_median,445_var,480_mean,480_ptp,480_std,480_median,480_var,515_mean,515_ptp,515_std,515_median,515_var,555_mean,555_ptp,555_std,555_median,555_var,590_mean,590_ptp,590_std,590_median,590_var,630_mean,630_ptp,630_std,630_median,630_var,680_mean,680_ptp,680_std,680_median,680_var,910_mean,910_ptp,910_std,910_median,910_var
not_usable,moving,3759.375,1388,443.4143298,3726.5,196616.2679,16276.75,6225,1978.859971,16113.0,3915886.786,7079.0,2616,837.4672701,7021.5,701351.4286,20848.25,7492,2415.82531,20690.5,5836211.929,30174.5,12619,4802.825002,29318.5,23067128.0,32492.0,13713,5053.355745,31846.0,25536404.29,28038.75,11656,4255.898688,27718.5,18112673.64,14262.875,5728,2143.276826,14086.5,4593635.554,4058.875,1542,583.6110342,3963.0,340601.8393
not_usable,moving,1020.125,3670,1651.458181,131.5,2727314.125,4114.125,16286,7333.424408,159.5,53779113.55,1881.625,6947,3114.016558,203.5,9697099.125,5306.375,20804,9346.89574,267.5,87364459.98,4237.0,31354,11076.53811,329.0,122689696.6,4560.875,33254,11745.72301,423.0,137962009.0,4070.5,28257,9976.093724,560.5,99522446.0,2425.5,14047,4952.882739,685.5,24531047.43,1887.25,2919,961.7421321,1646.5,924947.9286
not_usable,moving,592.0,971,501.6122578,554.0,251614.8571,3305.875,6481,3378.081554,3060.5,11411434.98,1120.0,1921,995.5875509,1045.0,991194.5714,2335.0,4284,2226.777492,2170.0,4958538.0,2014.625,3501,1841.489765,2035.0,3391084.554,1562.5,2493,1285.951899,1594.0,1653672.286,1309.375,1767,874.232878,1354.5,764283.125,839.25,662,267.9620176,898.5,71803.64286,1006.375,1266,611.4680082,700.0,373893.125
usable,right,3583.375,252,91.2483855,3605.0,8326.267857,15185.25,1123,404.4339077,15278.0,163566.7857,6746.875,525,184.2835064,6793.0,33960.41071,20066.625,1443,514.268395,20205.5,264471.9821,29987.25,1903,619.5652277,30009.0,383861.0714,33006.375,1921,668.8025413,33104.0,447296.8393,28858.125,1619,595.3300255,29003.0,354417.8393,14807.75,825,299.7259463,14880.5,89835.64286,4066.875,209,75.57482101,4063.5,5711.553571
usable,right,3645.625,510,170.4757524,3705.0,29061.98214,15446.875,2216,735.8319757,15693.5,541448.6964,6870.5,978,312.0938504,6948.5,97402.57143,20432.5,2798,924.5836128,20725.5,854854.8571,29942.125,5007,1658.016236,30536.0,2749017.839,32879.875,5005,1604.496667,33420.0,2574409.554,28729.5,3872,1197.289558,29001.5,1433502.286,14758.25,1934,597.316798,14892.0,356787.3571,4057.125,564,175.6094998,4107.5,30838.69643
usable,right,3221.25,560,223.2274625,3176.5,49830.5,13604.875,2479,988.0625251,13358.5,976267.5536,6084.125,1064,426.9451077,5990.0,182282.125,18047.25,3099,1234.221993,17833.5,1523303.929,27420.5,4722,1560.67641,27898.5,2435710.857,30407.5,5320,1769.148383,30998.5,3129886.0,26855.125,4804,1628.024257,27478.0,2650462.982,13808.5,2411,812.1760893,14112.5,659630.0,3773.875,603,202.2625151,3838.5,40910.125
not_usable,moving,3179.125,759,228.3039562,3176.5,52122.69643,13358.5,3318,997.9404506,13375.5,995885.1429,5962.875,1529,458.6951797,5929.0,210401.2679,17791.5,4239,1276.103556,17752.5,1628440.286,25824.625,2680,864.6746601,25848.0,747662.2679,28628.875,2408,865.6760261,28657.0,749394.9821,25277.625,2128,750.654179,25143.5,563481.6964,13002.875,1113,384.9895871,12921.5,148216.9821,3704.0,302,99.39818912,3708.5,9880.0
not_usable,moving,3465.5,1141,397.4543999,3248.0,157970.0,14586.875,4859,1719.967395,13603.0,2958287.839,6507.0,2231,777.7408676,6106.5,604880.8571,19435.0,6377,2203.586427,18289.0,4855793.143,28454.375,13193,4826.108516,26770.5,23291323.41,31237.25,14274,5264.697597,29385.0,27717040.79,27193.625,12501,4603.777112,25563.5,21194763.7,13985.625,6357,2342.291609,13166.5,5486329.982,3946.625,1472,508.2839301,3754.5,258352.5536
not_usable,moving,2043.125,1716,584.8803144,2010.5,342084.9821,8473.875,7303,2482.384708,8350.0,6162233.839,3824.75,3213,1095.212928,3768.5,1199491.357,11396.25,9820,3346.738487,11260.0,11200658.5,18181.125,13737,5587.346021,17215.0,31218435.55,20123.75,14982,6076.31382,19205.5,36921589.64,17651.75,12788,5199.377456,16965.5,27033525.93,9188.0,6339,2589.41273,8791.5,6705058.286,3120.625,845,258.8303015,3175.5,66993.125
not_usable,inclined,1655.375,381,130.8968378,1630.5,17133.98214,6795.75,1654,565.8164139,6686.0,320148.2143,3091.875,698,238.7009112,3047.5,56978.125,9161.125,2210,756.6168001,9020.0,572468.9821,13876.125,2681,972.5848384,13640.5,945921.2679,15400.5,2823,1038.483922,15169.5,1078448.857,13608.0,2338,873.231928,13416.0,762534.0,7165.0,1127,419.7979106,7085.5,176230.2857,3012.625,396,125.9035203,3010.5,15851.69643
