status,placement,415_mean,415_ptp,415_std,415_median,415_var,445_mean,445_ptp,445_std,445_median,445_var,480_mean,480_ptp,480_std,480_median,480_var,515_mean,515_ptp,515_std,515_median,515_var,555_mean,555_ptp,555_std,555_median,555_var,590_mean,590_ptp,590_std,590_median,590_var,630_mean,630_ptp,630_std,630_median,630_var,680_mean,680_ptp,680_std,680_median,680_var,910_mean,910_ptp,910_std,910_median,910_var
not_usable,moving,619.875,2443,1026.611408,71.0,1053930.982,2386.25,9964,4213.448257,131.5,17753146.21,1140.5,4432,1870.321974,143.0,3498104.286,3169.625,13140,5572.714572,182.0,31055147.7,4155.75,18483,7387.920174,261.0,54581364.5,5018.875,22519,9014.071562,259.5,81253486.13,5047.5,22227,8881.246068,366.5,78876531.71,2783.875,11509,4582.887188,377.5,21002854.98,1374.125,1947,737.1077528,1002.5,543327.8393
not_usable,moving,188.375,1014,355.4534076,64.5,126347.125,893.125,6508,2295.84161,86.0,5270888.696,350.625,1989,698.0243421,108.5,487237.9821,672.5,4398,1545.396667,134.5,2388250.857,704.875,3450,1203.021843,186.0,1447261.554,564.625,2499,864.1939163,206.0,746831.125,520.75,1837,625.3777715,282.5,391097.3571,379.75,814,266.9642833,298.0,71269.92857,634.875,547,172.2145153,705.0,29657.83929
not_usable,moving,1069.75,54,18.14819944,1075.0,329.3571429,6552.25,343,117.0772029,6588.0,13707.07143,2072.25,114,38.56997352,2084.0,1487.642857,4489.625,227,76.0844221,4512.0,5788.839286,3735.875,111,45.21516023,3710.0,2044.410714,2741.875,86,37.58965473,2720.5,1412.982143,2110.0,67,29.1498591,2093.5,849.7142857,1071.625,29,12.96079252,1064.0,167.9821429,499.0,15,5.154748158,497.0,26.57142857
usable,right,3009.875,107,35.03238298,3000.0,1227.267857,12748.125,451,145.3708926,12706.5,21132.69643,5455.5,208,61.39799904,5449.0,3769.714286,16413.0,706,218.6013985,16347.5,47786.57143,23975.25,317,123.4593629,23909.5,15242.21429,26886.375,283,89.33234497,26899.0,7980.267857,24686.625,325,120.9391081,24692.0,14626.26786,12805.0,200,75.43208866,12815.5,5690.0,3505.125,31,9.818895777,3504.0,96.41071429
usable,right,2990.375,74,29.59216837,2980.5,875.6964286,12650.0,318,123.1711933,12621.0,15171.14286,5443.75,144,55.23133169,5428.5,3050.5,16288.625,398,156.6706623,16242.5,24545.69643,23804.5,693,245.5821073,23812.5,60310.57143,26765.75,699,259.7365423,26788.5,67463.07143,24697.25,615,230.6052595,24761.5,53178.78571,12828.75,313,117.3392517,12862.0,13768.5,3499.625,71,26.36522331,3502.5,695.125
usable,right,3015.5,31,10.77032961,3019.0,116.0,12741.75,126,45.2477308,12753.5,2047.357143,5493.375,44,15.39886359,5496.5,237.125,16424.125,177,61.54078206,16447.5,3787.267857,23997.125,327,117.903638,24041.5,13901.26786,26896.375,307,113.9109144,26921.0,12975.69643,24720.0,248,88.50343012,24709.0,7832.857143,12846.5,110,38.84401039,12841.0,1508.857143,3501.25,32,11.38608173,3502.0,129.6428571
usable,right,3048.125,129,44.02738596,3065.0,1938.410714,12922.0,613,208.7219613,13004.0,43564.85714,5541.125,222,73.99312227,5573.0,5474.982143,16497.375,612,208.2388309,16568.5,43363.41071,24117.25,1014,319.095485,24186.0,101821.9286,27065.375,1048,333.9845751,27165.5,111545.6964,24932.5,866,288.1646355,25007.5,83038.85714,12947.0,427,141.8812381,12983.0,20130.28571,3535.25,134,44.41926866,3552.0,1973.071429
not_usable,moving,2680.25,904,374.2194734,2683.0,140040.2143,11412.5,3797,1578.701637,11414.0,2492298.857,4909.75,1583,656.5798287,4893.0,431097.0714,14690.0,4611,1897.068264,14699.0,3598868.0,20743.125,6311,2634.138701,20208.5,6938686.696,23174.625,7229,2968.398748,22574.5,8811391.125,21110.5,6995,2826.812794,20525.5,7990870.571,10987.75,3577,1442.773693,10680.5,2081595.929,3103.25,786,321.2198846,3016.0,103182.2143
not_usable,moving,1952.125,743,281.8441502,1835.5,79436.125,8257.875,3368,1256.360553,7785.5,1578441.839,3600.625,1420,529.7082587,3397.0,280590.8393,10791.5,4252,1599.223026,10168.0,2557514.286,15788.625,4272,1500.999185,15188.5,2252998.554,17654.375,4578,1631.267863,16963.5,2661034.839,16047.0,3978,1443.609266,15405.0,2084007.714,8380.375,2063,750.1946295,8045.0,562791.9821,2576.125,393,141.6307447,2520.0,20059.26786
not_usable,inclined,1803.0,222,82.45345007,1836.5,6798.571429,7610.375,962,361.1141242,7772.5,130403.4107,3335.625,401,151.617882,3408.0,22987.98214,10014.0,1222,457.1211156,10220.5,208959.7143,14912.5,2593,874.769194,14972.0,765221.1429,16673.125,2822,961.2574261,16713.0,924015.8393,15120.625,2492,865.6389775,15177.5,749330.8393,7894.5,1271,441.6899365,7920.5,195090.0,2464.875,226,79.27067103,2469.0,6283.839286
